appid,publishers
10,Valve
20,Valve
30,Valve
40,Valve
50,Valve
60,Valve
70,Valve
80,Valve
130,Valve
220,Valve
240,Valve
300,Valve
320,Valve
360,Valve
400,Valve
440,Valve
500,Valve
550,Valve
570,Valve
620,Valve
630,Valve
730,Valve
1002,Mark Healey
1200,Tripwire Interactive
1250,Tripwire Interactive
1300,Atari
1300,Nightdive Studios
1313,Atari
1313,Nightdive Studios
1500,Introversion Software
1510,Introversion Software
1520,Introversion Software
1530,Introversion Software
1600,Strategy First
1610,Strategy First
1620,Strategy First
1630,Strategy First
1640,Strategy First
1670,Strategy First
1690,Strategy First
1700,Bethesda Softworks
1900,ACE
1900,Topware Interactive
1930,Topware Interactive
2100,Ubisoft
2200,Bethesda Softworks
2210,Bethesda Softworks
2270,Bethesda Softworks
2280,Bethesda
2310,Bethesda Softworks
2320,Bethesda Softworks
2400,Blazing Griffin
2420,Blazing Griffin Ltd.
2450,Ubisoft
2500,Frozenbyte
2520,"CINEMAX, s.r.o."
2590,Bohemia Interactive
2600,Activision
2610,Activision
2620,Activision
2630,Activision
2640,Activision
2700,Aspyr (Mac)
2700,Frontier
2710,THQ Nordic
2800,Egosoft
2810,Egosoft
2820,Egosoft
2840,Egosoft
2850,Egosoft
2870,Egosoft
2900,Strategy First
2910,Strategy First
2920,Strategy First
2990,Strategy First
3010,Techland
3020,Techland Publishing
3050,Techland
3130,Fulqrum Publishing
3170,Fulqrum Publishing
3230,THQ Nordic
3260,HandyGames
3260,THQ Nordic Mobile
3270,Prime Matter
3300,Electronic Arts
3300,"PopCap Games, Inc."
3310,Electronic Arts
3310,"PopCap Games, Inc."
3320,Electronic Arts
3320,"PopCap Games, Inc."
3330,Electronic Arts
3330,"PopCap Games, Inc."
3340,Electronic Arts
3350,Electronic Arts
3350,"PopCap Games, Inc."
3360,Electronic Arts
3380,Electronic Arts
3390,Electronic Arts
3390,"PopCap Games, Inc."
3400,"PopCap Games, Inc."
3410,"PopCap Games, Inc."
3420,Electronic Arts
3430,Electronic Arts
3450,"PopCap Games, Inc."
3460,Electronic Arts
3480,Electronic Arts
3480,"PopCap Games, Inc."
3483,Electronic Arts
3490,"PopCap Games, Inc."
3500,Electronic Arts
3510,"PopCap Games, Inc."
3520,Electronic Arts
3530,Electronic Arts
3540,Electronic Arts
3540,"PopCap Games, Inc."
3560,Electronic Arts
3560,"PopCap Games, Inc."
3570,Electronic Arts
3580,Electronic Arts
3590,Electronic Arts
3590,"PopCap Games, Inc."
3600,Electronic Arts
3610,Electronic Arts
3620,Electronic Arts
3620,"PopCap Games, Inc."
3700,Rebellion
3710,Rebellion
3720,Rebellion
3730,Rebellion
3800,Ziggurat
3810,Ziggurat
3820,Ziggurat
3830,Double Fine Productions
3900,2K
3910,2K
3920,2K
3960,2K
3980,2K
3990,2K
4000,Valve
4230,SimBin
4290,SimBin
4420,Focus Entertainment
4460,Focus Entertainment
4470,Focus Entertainment
4520,THQ Nordic
4530,THQ Nordic
4560,SEGA
4570,Relic Entertainment
4700,Feral Interactive (Linux)
4700,Feral Interactive (Mac)
4700,SEGA
4770,SEGA
4800,GSC Game World
4850,GSC World Publishing
4870,GSC World Publishing
4880,GSC World Publishing
4890,GSC World Publishing
4900,Unknown Worlds Entertainment
4920,"KRAFTON, Inc."
4920,Unknown Worlds Entertainment
6000,Disney
6000,LucasArts
6000,Lucasfilm
6010,Disney
6010,LucasArts
6010,Lucasfilm
6020,Disney
6020,LucasArts
6020,Lucasfilm
6030,Disney
6030,LucasArts
6030,Lucasfilm
6040,LucasArts
6060,Disney
6060,LucasArts
6060,Lucasfilm
6080,LucasArts
6100,Klei Entertainment
6120,Klei Entertainment
6200,Strategy First
6210,Strategy First
6220,Strategy First
6250,Strategy First
6270,Strategy First
6300,Funcom
6310,Funcom
6370,Stunlock Studios
6400,HD Publishing
6420,THQ Nordic Mobile
6510,Capcom
6800,Kalypso Media Digital
6810,Kalypso Media Digital
6830,Kalypso Media Digital
6840,Kalypso Media Digital
6850,Io-Interactive A/S
6860,Io-Interactive A/S
6870,Square Enix
6880,Square Enix
6900,IO Interactive A/S
6910,Eidos Interactive Corp.
6920,Eidos Interactive Corp.
6980,Eidos Interactive Corp.
7000,Crystal Dynamics
7010,Square Enix
7020,Rebellion
7110,BioWare
7110,Electronic Arts
7200,Ubisoft
7210,Focus Entertainment
7220,Focus Entertainment
7340,BFG Entertainment
7510,Topware Interactive
7520,"Topware Interactive, ACE"
7530,Topware Interactive
7600,2K
7600,Feral Interactive (Mac)
7610,2K
7620,2K
7650,2K
7660,2K
7670,2K
7730,2K
7760,2K
7770,2K
7800,Aspyr
7830,Fulqrum Publishing
7840,Fulqrum Publishing
7860,Fulqrum Publishing
7940,Activision
8000,Crystal Dynamics
8080,Square Enix
8100,Square Enix
8140,Crystal Dynamics
8170,Square Enix
8190,Square Enix
8330,Telltale
8400,Activision
8500,Fenris Creations
8600,SimBin
8780,SimBin
8790,SimBin
8800,2K
8850,2K
8870,2K
8880,2K
8890,2K
8930,2K
8930,Aspyr (Linux)
8930,Aspyr (Mac)
8970,2K
9010,Bethesda Softworks
9060,id Software
9180,Bethesda Softworks
9200,Bethesda Softworks
9340,SEGA
9350,Square Enix
9420,Square Enix
9460,THQ Nordic
9480,Deep Silver
9500,Chronic Logic
9710,THQ Nordic
9730,Atari
9760,THQ Nordic
9800,Fulqrum Publishing
9880,Arc Games
9900,Arc Games
9940,Krome Studios
9960,Atari
9970,Atari
9980,Atari
10090,Activision
10100,Activision
10110,Activision
10120,Activision
10130,Activision
10140,Activision
10150,Activision
10180,Activision
10220,Akella
10230,Akella
10240,Akella
10250,Akella
10260,Akella
10270,Kalypso Media Digital
10460,SEGA
10500,Feral Interactive (Linux)
10500,Feral Interactive (Mac)
10500,SEGA
10680,SEGA
11020,Ubisoft
11040,Frogwares
11050,Frogwares
11130,Frogwares
11140,Frogwares
11150,Frogwares
11180,Frogwares
11190,Frogwares
11200,Frozenbyte
11230,CINEMAX GAMES
11240,Meridian4
11250,ESDigital Games
11260,ESDigital Games
11280,Pursuit Games
11340,Meridian4
11370,Meridian4
11390,Meridian4
11450,Codemasters
11450,Electronic Arts
11550,THQ Nordic
11610,Eyedentity Games Inc.
12130,Rockstar Games
12140,Rockstar Games
12150,Rockstar Games
12200,Rockstar Games
12210,Rockstar Games
12220,Rockstar Games
12310,Strategy First
12320,THQ Nordic
12330,Strategy First
12360,Strategy First
12364,Strategy First
12390,Strategy First
12420,Strategy First
12430,Kalypso Media Digital
12440,Strategy First
12450,Strategy First
12460,Strategy First
12470,Strategy First
12480,Strategy First
12500,"D3Publisher of America, Inc."
12510,Cosmi Valusoft
12520,Cosmi Valusoft
12530,Ziggurat
12540,Ziggurat
12560,Cosmi Valusoft
12570,Ziggurat
12580,Ziggurat
12590,Cosmi Valusoft
12600,Cosmi Valusoft
12640,DTP Entertainment
12650,Cosmi ValuSoft
12660,Cosmi Valusoft
12670,Cosmi Valusoft
12690,Ziggurat
12710,Codemasters
12710,Electronic Arts
12810,Codemasters
12810,Electronic Arts
13000,Nunchuck Games
13500,Ubisoft
13520,Ubisoft
13530,Ubisoft
13540,Ubisoft
13560,Ubisoft
13570,Ubisoft
13580,Ubisoft
13600,Ubisoft
13620,Ubisoft
13630,Ubisoft
15000,Ubisoft
15080,Ubisoft
15100,Ubisoft
15120,Ubisoft
15170,Ubisoft
15190,Ubisoft
15200,Ubisoft
15210,Ubisoft
15240,Ubisoft
15300,Ubisoft
15320,Fulqrum Publishing
15370,Ubisoft
15380,Ubisoft
15390,Ubisoft
15400,Oxeye Game Studio
15500,"Dejobaan Games, LLC"
15520,"Dejobaan Games, LLC"
15560,"Dejobaan Games, LLC"
15620,Feral Interactive (Mac/Linux)
15620,Relic Entertainment
15700,Oddworld Inhabitants
15710,Oddworld Inhabitants
15740,Oddworld Inhabitants
15750,Oddworld Inhabitants
15900,Accelerate Games
15910,Accelerate Games
15920,Accelerate Games
15930,Accelerate Games
15960,Accelerate Games
15970,Accelerate Games
16000,Accelerate Games
16020,Accelerate Games
16030,Accelerate Games
16040,Accelerate Games
16060,Accelerate Games
16450,Warner Bros. Games
16450,Warner Bros. Interactive Entertainment
16500,blurredVision
16710,Missing Link Games
16720,Missing Link Games
16730,SouthPeak Games
16810,2K
16900,MicroProse Software
17140,"Tilted Mill Entertainment, Inc."
17330,Electronic Arts
17390,Electronic Arts
17410,Electronic Arts
17440,Electronic Arts
17460,Electronic Arts
17470,Electronic Arts
17480,Electronic Arts
17500,Zombie Panic! Team
17570,Octoshark Studios
17580,Puny Human
17710,Iceberg Interactive
17740,Empires
18000,Hothead Games
18020,Hothead Games
18040,Electronic Arts
18050,Electronic Arts
18070,Hothead Games
18120,Futuremark
18300,Shorebound Studios
18400,Viva Media
18420,Viva Media
18430,Viva Media
18470,THQ Nordic
18480,Viva Media
18500,Hidden Path Entertainment
18600,Inventive Dingo
18700,Broken Rules
18820,Brian Cronin
19000,KONAMI
19020,KONAMI
19030,KONAMI
19080,KONAMI
19320,Bounce Entertainment
19500,Silver Sphere Studios
19680,Electronic Arts
19800,Ubisoft
19810,Ubisoft
19830,Ubisoft
19900,Ubisoft
19980,Ubisoft
20200,Perpetual FX Creative
20500,Deep Silver
20530,Deep Silver
20540,SEGA
20550,Deep Silver
20700,Moonpod
20710,Moonpod
20820,PikPok
20900,1C-SoftClub
20900,CD PROJEKT RED
20920,1C-SoftClub
20920,CD PROJEKT RED
21000,Warner Bros. Interactive Entertainment
21010,Warner Bros. Games
21030,Warner Bros. Games
21090,Warner Bros. Games
21090,Warner Bros. Interactive Entertainment
21100,Warner Bros. Interactive Entertainment
21130,Warner Bros. Interactive Entertainment
21660,Capcom
21670,Capcom
21680,Capcom
21690,Capcom
21780,Ubisoft
21800,Ubisoft
21970,Eugen Systems
21980,Techland Publishing
22000,2D BOY
22100,TaleWorlds Entertainment
22120,Frictional Games
22130,Paradox Interactive
22140,Frictional Games
22180,Frictional Games
22200,ACE Team
22230,SEGA
22300,Bethesda Softworks
22310,Bethesda Softworks
22320,Bethesda Softworks
22330,Bethesda Softworks
22340,Bethesda Softworks
22350,Bethesda Softworks
22370,Bethesda Softworks
22380,Bethesda Softworks
22450,Bethesda Softworks
22500,Three Donkeys LLC
22600,Team17 Digital Ltd
22610,Team17 Digital Ltd
22650,Team17 Digital Ltd
22670,Team17 Digital Ltd
23150,Red Chain Games Ltd.
23300,Square Enix
23380,Square Enix
23400,Kalypso Media Digital
23420,Paradox Interactive
23450,Kalypso Media Digital
23455,Kalypso Media Digital
23460,Assemble Entertainment
23490,Kalypso Media Digital
23500,"D3Publisher of America, Inc."
23530,D3PUBLISHER
23600,Soldak Entertainment
23700,Strategy First
24010,Dovetail Games
24010,Dovetail Games - Trains
24200,Daybreak Game Company
24240,Starbreeze Entertainment
24400,Paradox Interactive
24410,Paradox Interactive
24420,"Bit Blot, LLC"
24460,Paradox Interactive
24480,Paradox Interactive
24720,Electronic Arts
24780,Aspyr (Mac)
24780,Electronic Arts
24790,Electronic Arts
24800,Electronic Arts
24810,Electronic Arts
24880,Electronic Arts
25000,Wolfire Games
25010,Wolfire Games
25600,Basilisk Games
25620,Basilisk Games
25700,Playbrains
25800,Paradox Interactive
25808,Paradox Interactive
25830,Paradox Interactive
25850,Fulqrum Publishing
25890,Paradox Interactive
25900,Fulqrum Publishing
25910,BattleGoat Studios
25930,Nitro Games
25980,Paradox Interactive
25990,Paradox Interactive
26000,Twisted Pixel Games
26000,Xbox Game Studios
26300,Paleo Entertainment
26800,Number None
26900,Kloonigames
27000,Tale of Tales
27020,Tale of Tales
27050,Tale of Tales
27800,Llamasoft LTD
27810,Llamasoft LTD
27900,DnS Development
27920,DnS Development
27940,DnS Development
28000,Square Enix
29120,KranX Productions
29130,KranX Productions
29160,Erik Svedäng AB
29180,Hemisphere Games
29720,ArenaNet®
29720,NCSOFT
29800,Elecorn
29900,Digital Extremes
31100,Telltale
31170,Telltale
31270,Telltale
31700,ISOTX
31800,HeR Interactive
31810,HeR Interactive
31820,HeR Interactive
31830,HeR Interactive
31840,HeR Interactive
31850,HeR Interactive
31860,HeR Interactive
31870,HeR Interactive
31880,HeR Interactive
31890,HeR Interactive
31900,HeR Interactive
31910,HeR Interactive
31920,HeR Interactive
31930,HeR Interactive
32000,Thinking Studios
32110,Accelerate Games
32120,Accelerate Games
32140,Accelerate Games
32150,TrueThought
32160,Accelerate Games
32200,Black Jacket Studios
32310,Disney
