appid,name,type,is_free,price_currency,price_initial,price_final,price_discount_pct,price_initial_fmt,price_final_fmt,release_date,release_date_fmt,recommendations,last_seen_players,appid_amount,refresh_count
10,Counter-Strike,game,False,USD,999,999,0,$9.99,$9.99,"Nov 1, 2000",2000-11-01,169620,11736,10_2,1
10,Counter-Strike,game,False,USD,999,999,0,$9.99,$9.99,"Nov 1, 2000",2000-11-01,169621,11736,10_3,1
20,Team Fortress Classic,game,False,USD,499,499,0,$4.99,$4.99,"Apr 1, 1999",1999-04-01,7048,64,20_2,1
30,Day of Defeat,game,False,USD,499,499,0,$4.99,$4.99,"May 1, 2003",2003-05-01,4474,77,30_2,1
50,Half-Life: Opposing Force,game,False,USD,499,499,0,$4.99,$4.99,"Nov 1, 1999",1999-11-01,25387,134,50_2,1
70,Half-Life,game,False,USD,999,999,0,$9.99,$9.99,"Nov 19, 1998",1998-11-19,117116,966,70_2,1
70,Half-Life,game,False,USD,999,999,0,$9.99,$9.99,"Nov 19, 1998",1998-11-19,117116,966,70_3,1
80,Counter-Strike: Condition Zero,game,False,USD,999,999,0,$9.99,$9.99,"Mar 1, 2004",2004-03-01,21418,469,80_2,1
130,Half-Life: Blue Shift,game,False,USD,499,499,0,$4.99,$4.99,"Jun 1, 2001",2001-06-01,18626,43,130_2,1
220,Half-Life 2,game,False,USD,999,999,0,$9.99,$9.99,"Nov 16, 2004",2004-11-16,202393,1832,220_2,1
220,Half-Life 2,game,False,USD,999,999,0,$9.99,$9.99,"Nov 16, 2004",2004-11-16,202393,1832,220_3,1
240,Counter-Strike: Source,game,False,USD,999,999,0,$9.99,$9.99,"Nov 1, 2004",2004-11-01,135319,3636,240_2,1
240,Counter-Strike: Source,game,False,USD,999,999,0,$9.99,$9.99,"Nov 1, 2004",2004-11-01,135319,3636,240_3,1
300,Day of Defeat: Source,game,False,USD,999,999,0,$9.99,$9.99,"Jul 12, 2010",2010-07-12,15984,410,300_2,1
320,Half-Life 2: Deathmatch,game,False,,,,,,,"Nov 1, 2004",2004-11-01,10235,165,320_2,1
360,Half-Life Deathmatch: Source,game,False,USD,999,999,0,$9.99,$9.99,"May 1, 2006",2006-05-01,4360,23,360_2,1
400,Portal,game,False,USD,999,999,0,$9.99,$9.99,"Oct 10, 2007",2007-10-10,173269,638,400_2,1
440,Team Fortress 2,game,True,,,,,,,"Oct 10, 2007",2007-10-10,47802,60926,440_2,1
440,Team Fortress 2,game,True,,,,,,,"Oct 10, 2007",2007-10-10,47802,60926,440_3,1
500,Left 4 Dead,game,False,USD,999,999,0,$9.99,$9.99,"Nov 17, 2008",2008-11-17,58111,540,500_2,1
550,Left 4 Dead 2,game,False,USD,999,999,0,$9.99,$9.99,"Nov 16, 2009",2009-11-16,814736,20649,550_2,1
550,Left 4 Dead 2,game,False,USD,999,999,0,$9.99,$9.99,"Nov 16, 2009",2009-11-16,814743,20649,550_3,1
570,Dota 2,game,True,,,,,,,"Jul 9, 2013",2013-07-09,14377,819728,570_2,1
570,Dota 2,game,True,,,,,,,"Jul 9, 2013",2013-07-09,14377,819728,570_3,1
620,Portal 2,game,False,USD,999,999,0,$9.99,$9.99,"Apr 18, 2011",2011-04-18,389906,2238,620_2,1
620,Portal 2,game,False,USD,999,999,0,$9.99,$9.99,"Apr 18, 2011",2011-04-18,389906,2238,620_3,1
630,Alien Swarm,game,True,,,,,,,"Jul 19, 2010",2010-07-19,294,25,630_2,1
730,Counter-Strike 2,game,True,,,,,,,"Aug 21, 2012",2012-08-21,5253121,1070094,730_2,1
730,Counter-Strike 2,game,True,,,,,,,"Aug 21, 2012",2012-08-21,5252996,1077731,730_3,1
1250,Killing Floor,game,False,USD,1999,1999,0,$19.99,$19.99,"May 14, 2009",2009-05-14,40071,292,1250_2,1
1520,DEFCON,game,False,USD,1199,1199,0,$11.99,$11.99,"Sep 29, 2006",2006-09-29,3457,14,1520_2,1
